Nom.Kods,Nom.Nosaukums,Beigu daudzums,"Beigu vid. cena, EUR",Nom.PCAPVNE.Cena
0001441,Atkritumu maisi 50 L,"53,000","1,3757","2,08"
0001443,"Ritenis pagriežams 10"" met/gult 000144","23,000","6,9287","10,93"
0001445,Rullis atgaisošanai ar kātu 25cm/28mm 717,"37,000","4,6576","8,15"
0001470,Līmeņrādis Spirit 1 mala slīpa 2 līmeņ. 150 cm,"3,000","12,70","20,19"
0001474,"Ritenis 13*4,0-6' met/gult 20 mm","44,000","5,4561","8,65"
0001475,Akmens flīzes Karolina OK13 30*30,"30,330","3,2222","4,88"
0001481,Ritenis 16*4.0*8` Met/Gult/20mm 000148,"29,000","6,6803","10,52"
0001498,"Ritenis 16*6.50-8"" met.gultn. 20mm  000149","5,000","14,332","21,58"
0001500,Līme kokam DB Montagefix-D 310 ml,"2,000","1,335","2,09"
0001504,"Ritenis 14*3,5-8' met/gult 20 mm","40,000","5,51","8,69"
0001518,"Nosegplāksne,balta","14,000","0,7829","1,24"
0001551,Rullis atgaisošanai 50 cm 14 mm,"5,000","4,138","6,39"
0001597,Pārklājs 6*10 m 000159,"48,000","13,3231","21,87"
0001603,Pārklājs 8*10m 70g/m2,"30,000","18,109","29,15"
0001632,Lupatiņas univers. Merkant 3 gab,"1,000","0,43","0,63"
0001634,Pārklājs 3*5m 100g/m2,"12,000","5,2008","8,59"
0001647,Spuldze Basic 18W/640 D26mm,"259,000","0,8789","1,39"
0001658,Pārklājs 4*6m 100g/m2,"16,000","8,2056","13,63"
0001665,Pārklājs 6*8m 100g/m2,"13,000","16,7431","27,28"
0001708,Spuldze Basic 36W/640 D26mm,"189,000","0,9046","1,47"
0001719,"Žogs 1,8*25m 75*100mm 2.2mm","42,000","35,7519","63,42"
0001726,"Žogs 1,2*25m 50*100mm 2,5 mm","35,500","36,0501","55,61"
0001733,"Žogs 1,5*25m 50*100mm 2,5 mm","98,000","44,3999","76,24"
0001788,Žogs 1.8*25m 50*63mm 2.5mm 000178,"3,000","67,73","102,45"
0001793,Stūris ārējais Cezar 98 mat. ar gumiju,"0,000","0,00","0,38"
0001795,"Žoga stabs 2,0m apaļš D 48mm","62,000","6,1902","9,13"
0001818,"Žoga stabs 2,5m apaļš 48mm 000181","30,000","6,5613","10,02"
0001832,"Žoga stabs 2,0m ar gropi D 48mm","52,000","5,8662","9,09"
0001849,"Žoga stabs 2,3m ar gropi d48 mm","20,000","7,011","11,43"
0001856,"Žoga stabs 2,5m ar gropi d48 mm","0,000","0,00","11,28"
0001894,"Žogs 1,2*25m 75*100mm 2.2mm","1117,800","2,9763","33,64"
0001900,Multifunkcionālās kāpnes 4*4,"50,000","63,3864","100,24"
0001931,Pārklājs 12*15m 70g/m2,"2,000","42,61","63,99"
0001948,Pārklājs 12*15m 100g/m2,"1,000","57,19","84,36"
0001955,Pārklājs 4*5m 70g/m2,"72,000","4,3851","7,29"
0001962,Pārklājs 3*4m 70g/m2,"1123,000","0,3444","4,38"
0001970,WC sanit plus tīrīšanas līdzeklis 500 ml,"28,000","0,9293","1,55"
0001993,Maisu ratiņi 180 kg,"6,000","26,3417","41,25"
0002000,Stikla griezējs Jokra 46-3-002,"14,000","1,2171","1,79"
0002013,"Stabs atsaites 1,7 m","6,000","3,5267","5,21"
0002019,Naktsgaisma Lunetta sarkana,"2,000","1,485","2,19"
0002020,Stabs atsaites 2.0 m,"59,000","4,7117","7,40"
0002037,Stabs atsaites 2.3 m,"0,000","0,00","7,91"
0002051,Metāla skavas 100 gb Inox,"15,000","4,0893","6,73"
0002059,Stūris iekšējais Cezar 98 mat. ar gumiju,"0,000","0,00","0,37"
0002082,"Žogs 1,7*25m 50*50mm 2,0 mm cink.","0,000","0,00","95,01"
0002177,Kniedes AL/ST 4.8*10 ar 16mm galvu,"190,000","0,1369","0,24"
0002204,"Flīzes Aquiles Fuego 33,3*33,3","1014,870","0,8384","15,92"
0002211,"Flīzes Gr.Napa Cuero 33,3*33,3","6,330","7,4755","11,03"
0002214,Kniede AL/ST 4.8*18 ar 18 mm galvu,"122,000","0,1765","0,31"
0002228,"Flīzes Gr.Napa Ocre 33,3*33,3","95,140","8,2404","12,64"
0002235,"Žoga stabs 1,7m apaļš 38*1.5mm","259,000","3,6295","5,96"
0002242,"Žoga stabs 2,0m apaļš 38mm","406,000","4,0504","6,84"
0002243,Tento Butterfly XXL tual.pap.Yellow 4 ruļļi,"47,000","1,0145","1,49"
0002249,Rokturis 140 mm niķelēts,"110,000","0,5549","0,87"
0002255,"Kontaktligzda ar vāku 2-viet., hor. IP44","7,000","4,9743","8,02"
0002257,Grīdas lupata Merkant 1 gab,"2,000","0,425","0,63"
0002259,"Žoga stabs 2,3m apaļš d38 mm","49,000","4,6184","7,93"
0002260,Tapetes 5534-07 1.06m*10m,"11,000","5,88","8,96"
0002266,"Stieple žogam 2,5mm*100m cink.","47,000","5,5474","8,98"
0002273,"Stieple žogam 3,5mm*100m cink.","12,000","9,1517","17,73"
0002280,Stieple žogam 2/3mm*100m PVC,"107,000","5,1713","7,83"
0002281,Pulv. Juss 10kg maisos 0201006,"1,000","10,85","16,01"
0002289,"Līste KA 1 brūna 2,7m","1,000","5,42","8,20"
0002297,"Stieple žogam 3,4mm*100m PVC","25,000","8,8752","15,89"
0002306,Cimdi cūkādas ar oderi un manžeti sarkans/balts 11 izm.,"6,000","2,2067","3,36"
